-0.04,0.72
0,0.75
0.005,0.765
0.015,0.76
0.08,0.77
0.05,0.755
0,0.74
0.055,0.755
0.035,0.695
0.015,0.73
-0.025,0.75
0.045,0.67
0.09,0.755
0.04,0.695
0.14,0.64
0.18,0.645
0.03,0.73
0.04,0.71
0.1,0.685
0.2,0.69
0.295,0.755
0.395,0.74
0.26,0.755
0.26,0.72
0.23,0.635
0.17,0.67
0.195,0.6
0.17,0.62
0.085,0.665
0.055,0.575
0.17,0.565
0.205,0.595
0.305,0.725
0.815,0.665
1.49,0.615
1.755,0.05
0.525,-0.87
-0.92,-1.275
-1.04,-1.645
-0.63,-1.315
-0.105,-0.59
0.04,-0.01
0.17,0.43
0.15,0.515
0.04,0.71
0.085,0.535
0.095,0.515
0.135,0.59
0.175,0.58
0.105,0.625
0.17,0.62
0.2,0.575
0.085,0.655
0.03,0.615
0.075,0.555
0.06,0.565
0.095,0.565
0.025,0.575
-0.03,0.56
-0.09,0.46
-0.175,0.475
-0.12,0.47
-0.095,0.465
-0.15,0.53
-0.205,0.48
-0.22,0.385
-0.36,0.445
-0.34,0.38
-0.345,0.3
-0.245,0.205
-0.3,0.28
-0.315,0.305
-0.3,0.27
-0.28,0.315
-0.18,0.265
-0.075,0.29
0.025,0.245
0.16,0.375
0.17,0.325
0.16,0.43
0.31,0.415
0.385,0.47
0.325,0.5
0.36,0.455
0.385,0.48
0.41,0.53
0.445,0.455
0.42,0.425
0.515,0.395
0.435,0.485
0.405,0.43
0.41,0.42
0.37,0.415
0.375,0.41
0.41,0.34
0.455,0.305
0.445,0.37
0.3,0.38
0.41,0.365
0.435,0.315
0.43,0.395
0.42,0.285
0.4,0.345
0.395,0.255
0.45,0.285
0.39,0.27
0.38,0.285
0.435,0.21
0.41,0.315
0.41,0.26
0.405,0.23
0.38,0.26
0.475,0.255
0.52,0.24
0.535,0.215
0.39,0.22
0.43,0.31
0.435,0.25
0.38,0.22
0.525,0.215
0.6,0.205
0.635,0.255
0.64,0.275
0.615,0.24
0.64,0.23
0.695,0.12
0.585,0.115
0.595,0.05
0.53,0.115
0.46,0.13
0.515,0.1
0.58,0.095
0.5,0.105
0.58,0.1
0.905,0.19
1.645,0.235
2.37,0.085
2.11,-0.575
0.33,-1.425
-0.51,-1.82
-0.33,-1.83
0.09,-1.35
0.45,-0.78
0.575,-0.39
0.755,-0.08
0.76,0.09
0.57,0.065
0.71,-0.035
0.79,-0.005
0.82,0.06
0.785,0.115
0.845,0.07
0.91,0.075
0.815,0.14
0.82,0.04
0.88,0.005
0.92,0.03
0.895,0.05
0.88,0.015
0.85,0.025
0.795,0.06
0.725,-0.055
0.665,-0.025
0.825,-0.02
0.925,-0.06
0.875,-0.095
0.875,-0.085
0.845,-0.115
0.82,-0.12
0.84,-0.125
